A1,A2,A3,A4,A5
24,25.3,84,198,202
50,23,101,192,489
23,22.6,89,139,1216
22,18.6,97,114,182
56,28,85,184,525
25,26,92,187,-8
32,30.5,89,182,287
57,21.7,94,157,531
53,20.5,78,147,508
62,23.5,80.33,225,556
52,28.5,110,195,502
48,27.7,73,191,-673
21,20.1,63,135,172
32,25.4,90.33,153,287
56,23.1,104,181,525
46,24.9,115,198,-16
37,26.8,79,157,344
67,24,83,143,578
46,24.7,85,174,456
59,23.6,83,165,541
22,23,73,161,182
20,22.9,87,191,163
52,24.3,86,197,502
61,33,95,182,551
29,21,71,156,-21
49,25.9,91,178,483
56,31,78.67,187,525
59,25.5,95.33,190,1320
60,23.4,88,153,546
62,31.8,115,199,556
33,25.4,102,206,704
51,27.9,96,196,-72
31,35.3,125,187,276
22,19.9,75,175,182
28,30.4,85,198,243
47,31.6,84,154,470
33,35,89,200,298
39,26.3,115,218,368
67,28.3,93,204,578
48,23.3,89.33,212,-35
47,30.4,120,199,470
61,28.2,106,204,551
42,24.9,91,204,405
61,23.1,113,186,551
50,26.1,109,243,489
47,22.5,82,131,470
64,23.5,97,203,565
39,21.2,90,182,-11
71,26.5,105,281,594
48,29.2,110,85,476
79,27,103,169,618
40,30.7,99,177,113
49,19.8,88,188,483
57,23.3,88,155,531
52,29.7,109,228,502
69,29.3,124,223,586
37,20.3,83,185,344
42,24,107,150,-84
41,20.2,62,153,393
67,23.6,111.33,74,578
55,28.2,91,250,-44
62,33.3,114,182,556
26,18.8,83,191,-33
45,32,110,224,89
34,35.5,120,233,309
49,20.3,93,184,483
62,22.5,125,215,983
44,38.2,123,201,-7
58,29,85,156,536
52,27,78.33,134,502
39,20.9,95,150,368
68,25.9,93,253,582
61,25.8,90,280,551
51,26.2,101,161,496
67,23.5,96,207,578
49,22.1,85,136,483
75,30.1,78,222,1020
73,27,102,211,600
51,29.2,107,187,496
71,24,84,138,-67
57,36.1,117,181,531
56,25.8,103,177,75
32,22,88,137,-12
31,23.3,85,190,276
19,25.3,83,225,153
50,28,104,282,489
43,18.5,87,163,418
44,26.6,99,205,-25
48,32.7,93,276,476
53,26.6,93,185,508
29,18.1,73,158,254
50,23.7,92,166,489
25,23.5,88,143,212
53,22.2,78,164,-56
79,23.3,88,186,618
66,21.7,126,212,574
34,25.3,111,230,309
34,26.3,87,197,309
33,19.5,80,171,298
60,24.9,99.67,162,546
