A1,A2,A3,A4
93.2,38,4.86,32.21
103.2,70,3.89,30.54
93.6,41,4.67,32.05
131.4,40,4.89,32.38
125.4,52,4.29,31.61
64.8,61,4.19,30.44
99.6,50,3.95,31.79
185,56,4.25,32.62
119.4,42,4.48,32.77
93.4,43,5.38,32.30
57.6,46,3.95,31.88
144.8,32,3.58,31.33
109.2,62,4.30,31.70
105.4,49,5.06,32.30
115.4,72,4.29,30.95
184.2,39,5.04,31.70
100.2,70,5.21,33.07
147,39,4.94,32.54
103,42,4.44,32.21
108.2,60,4.54,31.43
87.8,50,4.51,32.85
98.6,54,3.85,32.21
120.4,56,3.97,32.30
85.2,35,6.11,34.77
103.4,48,4.36,31.43
118.4,34,4.85,31.88
54,57,4.17,32.46
87.6,53,4.47,33.29
91.4,48,4.63,31.43
54.2,64,5.29,33.50
110.6,56,4.34,32.38
81.2,66,4.23,31.70
107.2,22,4.64,33.07
58,82,4.44,32.62
84.2,52,3.99,31.14
112.8,86,4.88,32.92
97.2,60,5.24,32.05
88,58,4.83,32.46
163.6,44,5.43,33.00
119.4,46,4.85,32.62
162.2,43,4.78,34.16
69,54,4.09,32.38
100.4,34,4.53,31.88
109,82,4.17,33.84
118.4,29,5.00,32.21
116.4,47,4.48,31.52
85,51,4.55,30.65
68,43,4.44,30.75
119.2,61,3.99,32.13
119.4,30,5.03,32.30
91.6,49,4.41,32.70
96.8,42,4.62,32.13
144,57,4.44,32.30
129.6,54,4.28,33.43
126.8,64,4.19,32.70
101,73,3.91,32.70
96,40,5.01,32.21
48.8,64,4.03,31.14
78.4,99,4.63,31.52
146.4,58,5.06,32.92
65.2,64,4.08,31.88
98,28,5.04,32.92
106.6,66,3.74,32.05
143.2,46,4.30,31.05
77.2,49,4.43,32.77
125,35,5.11,32.85
123.2,30,4.64,32.92
120.8,46,4.51,32.62
100,47,4.50,32.62
76.2,46,4.08,32.92
109.6,69,3.95,33.29
132.2,47,4.93,33.64
146.6,65,5.57,32.21
149.4,48,4.59,32.38
126.4,61,4.68,33.84
114.8,44,4.71,33.07
47.2,35,4.30,32.85
97.8,54,3.83,32.54
71.8,35,5.11,30.75
128.2,53,3.89,32.05
149.6,64,4.92,32.46
133.6,44,4.57,32.54
126.4,77,3.87,30.85
81.6,47,4.47,31.70
96.2,62,3.89,29.53
114.8,54,4.19,31.05
105.8,39,3.58,31.88
125.8,76,5.11,31.79
91.8,60,4.26,33.77
105.2,68,4.37,32.92
86.6,71,3.85,32.77
156.8,47,5.05,32.92
102.2,67,4.78,32.77
105.6,67,4.28,31.43
106.8,69,4.19,30.54
97,38,4.65,32.46
107.6,38,5.31,33.15
142.6,41,4.67,33.91
106.6,52,4.57,31.14
139.4,46,4.77,31.43
