@relation loan_default_reduced_sampled_training-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute loan_limit {cf,ncf}
@attribute loan_type {type1,type2,type3}
@attribute business_or_commercial {nob/c,b/c}
@attribute Neg_ammortization {not_neg,neg_amm}
@attribute lump_sum_payment {not_lpsm,lpsm}
@attribute income numeric
@attribute co-applicant_credit_type {EXP,CIB}
@attribute submission_of_application {to_inst,not_inst}
@attribute LTV numeric
@attribute dtir1 numeric
@attribute Status {no,yes}

@data
cf,type1,nob/c,not_neg,not_lpsm,9000,EXP,not_inst,56.001656,49,no
cf,type1,nob/c,not_neg,not_lpsm,7560,EXP,not_inst,94.730392,46,no
cf,type1,nob/c,not_neg,not_lpsm,4500,CIB,to_inst,70.752896,42,no
cf,type1,nob/c,neg_amm,not_lpsm,1620,CIB,to_inst,67.405063,44,no
cf,type1,nob/c,not_neg,not_lpsm,3300,EXP,to_inst,56.294964,37,no
cf,type1,nob/c,not_neg,not_lpsm,6480,CIB,to_inst,79.20082,35,no
cf,type1,nob/c,not_neg,not_lpsm,3480,EXP,to_inst,71.169355,49,no
cf,type2,b/c,not_neg,not_lpsm,2820,CIB,to_inst,98.986486,56,no
cf,type1,nob/c,not_neg,not_lpsm,8040,EXP,to_inst,66.377005,36,no
cf,type1,nob/c,not_neg,not_lpsm,4440,CIB,not_inst,73.698885,43,no
cf,type1,nob/c,neg_amm,not_lpsm,8520,EXP,to_inst,75.072674,49,no
cf,type2,b/c,not_neg,not_lpsm,7800,EXP,not_inst,99.568966,44,no
cf,type1,nob/c,neg_amm,not_lpsm,10800,EXP,not_inst,80.292479,42,no
cf,type1,nob/c,not_neg,not_lpsm,1980,EXP,to_inst,93.539326,46,no
cf,type1,nob/c,not_neg,not_lpsm,2400,CIB,to_inst,83.203125,44,no
ncf,type1,nob/c,not_neg,not_lpsm,4680,EXP,not_inst,59.440104,47,no
cf,type1,nob/c,not_neg,not_lpsm,9060,CIB,not_inst,64.059305,42,no
cf,type1,nob/c,not_neg,not_lpsm,6180,CIB,not_inst,72.879464,34,no
cf,type1,nob/c,not_neg,not_lpsm,11460,EXP,not_inst,73.948598,46,no
cf,type1,nob/c,not_neg,not_lpsm,7200,EXP,not_inst,84.040179,37,no
cf,type1,nob/c,not_neg,not_lpsm,4440,EXP,to_inst,26.004464,36,no
cf,type3,nob/c,not_neg,not_lpsm,4440,CIB,not_inst,99.542683,42,no
ncf,type1,nob/c,not_neg,not_lpsm,19920,EXP,to_inst,67.113095,31,no
cf,type1,nob/c,not_neg,not_lpsm,5220,CIB,to_inst,57.045929,48,no
cf,type2,b/c,not_neg,not_lpsm,10920,CIB,to_inst,96.493902,34,no
cf,type3,nob/c,not_neg,not_lpsm,6360,EXP,to_inst,73.533951,58,no
cf,type1,nob/c,not_neg,not_lpsm,6960,CIB,to_inst,44.768722,33,no
cf,type1,nob/c,not_neg,not_lpsm,9240,CIB,to_inst,75.776836,37,no
cf,type1,nob/c,not_neg,not_lpsm,6780,EXP,not_inst,93.821839,45,no
ncf,type1,nob/c,not_neg,not_lpsm,15840,EXP,to_inst,8.527261,17,no
cf,type1,nob/c,not_neg,not_lpsm,6420,EXP,to_inst,74.641577,49,no
cf,type1,nob/c,not_neg,not_lpsm,13920,CIB,not_inst,95.362903,24,no
cf,type3,nob/c,not_neg,not_lpsm,5340,EXP,not_inst,71.901709,28,no
cf,type1,nob/c,not_neg,not_lpsm,5220,CIB,to_inst,27.400409,40,no
ncf,type1,nob/c,not_neg,not_lpsm,9780,EXP,to_inst,80.011655,38,no
cf,type1,nob/c,not_neg,not_lpsm,7380,EXP,not_inst,79.336735,30,no
cf,type1,nob/c,not_neg,not_lpsm,1380,CIB,to_inst,50.492126,19,no
cf,type1,nob/c,not_neg,not_lpsm,5160,EXP,to_inst,69.265233,41,no
cf,type3,nob/c,not_neg,not_lpsm,3540,EXP,to_inst,102.852349,56,no
cf,type1,nob/c,not_neg,not_lpsm,13320,EXP,not_inst,79.775943,34,no
cf,type1,nob/c,not_neg,not_lpsm,5340,EXP,to_inst,78.645833,30,no
cf,type1,nob/c,not_neg,not_lpsm,4440,CIB,not_inst,80.405405,40,no
cf,type3,nob/c,not_neg,not_lpsm,3420,EXP,to_inst,98.728814,54,no
cf,type3,nob/c,not_neg,not_lpsm,2880,EXP,to_inst,98.728814,36,no
cf,type2,b/c,not_neg,not_lpsm,3960,CIB,not_inst,94.724771,30,no
cf,type1,nob/c,not_neg,not_lpsm,15060,CIB,not_inst,73.538961,27,no
cf,type1,nob/c,not_neg,not_lpsm,6300,EXP,not_inst,96.14094,35,no
cf,type3,nob/c,not_neg,not_lpsm,3120,EXP,to_inst,87.921348,35,no
cf,type1,nob/c,not_neg,not_lpsm,3120,CIB,to_inst,62.614679,45,no
cf,type1,nob/c,not_neg,not_lpsm,4800,EXP,to_inst,65.855457,38,no
cf,type1,nob/c,not_neg,not_lpsm,5880,EXP,not_inst,53.221649,42,no
cf,type1,nob/c,not_neg,not_lpsm,7140,EXP,not_inst,86.891117,42,no
cf,type1,nob/c,not_neg,not_lpsm,9120,EXP,not_inst,94.138418,47,no
cf,type1,nob/c,not_neg,not_lpsm,5400,CIB,to_inst,44.346734,42,no
cf,type2,b/c,not_neg,not_lpsm,6720,CIB,to_inst,88.669065,34,no
cf,type1,nob/c,not_neg,not_lpsm,2880,CIB,not_inst,52.67094,36,no
cf,type1,nob/c,not_neg,not_lpsm,7500,EXP,not_inst,33.552632,30,no
cf,type1,nob/c,not_neg,not_lpsm,4860,CIB,not_inst,21.616331,36,no
cf,type1,nob/c,not_neg,not_lpsm,31320,EXP,not_inst,62.862797,28,no
cf,type1,nob/c,not_neg,not_lpsm,3360,CIB,to_inst,68.410853,42,no
cf,type1,nob/c,not_neg,not_lpsm,5100,CIB,to_inst,89.141414,37,no
cf,type1,nob/c,not_neg,not_lpsm,13020,EXP,to_inst,34.331476,43,no
cf,type1,nob/c,not_neg,not_lpsm,3360,EXP,not_inst,93.639053,43,no
cf,type1,nob/c,not_neg,not_lpsm,7260,EXP,to_inst,84.514925,22,no
cf,type1,nob/c,not_neg,not_lpsm,7080,EXP,to_inst,84.266409,46,no
cf,type1,nob/c,not_neg,not_lpsm,5520,CIB,to_inst,81.47482,47,no
?,type1,nob/c,not_neg,not_lpsm,6000,CIB,not_inst,59.393064,48,no
ncf,type1,nob/c,not_neg,not_lpsm,42300,CIB,not_inst,74.888765,30,no
cf,type1,nob/c,not_neg,not_lpsm,7200,CIB,to_inst,83.294393,49,no
?,type1,nob/c,not_neg,not_lpsm,1020,CIB,to_inst,63.392857,45,no
cf,type1,nob/c,not_neg,not_lpsm,15780,EXP,not_inst,63.283972,42,no
ncf,type1,nob/c,not_neg,not_lpsm,7620,CIB,not_inst,90.057915,46,no
cf,type2,b/c,not_neg,not_lpsm,7380,EXP,not_inst,97.433036,31,no
cf,type1,nob/c,not_neg,not_lpsm,6000,EXP,not_inst,60.258359,33,no
cf,type1,nob/c,not_neg,not_lpsm,4080,CIB,not_inst,36.228814,41,no
cf,type1,nob/c,not_neg,not_lpsm,6480,EXP,to_inst,78.645833,27,no
ncf,type2,b/c,not_neg,not_lpsm,3300,CIB,to_inst,82.563025,57,no
cf,type1,nob/c,not_neg,not_lpsm,3720,EXP,to_inst,98.913043,49,no
cf,type1,nob/c,not_neg,not_lpsm,4560,EXP,to_inst,74.371069,34,no
ncf,type1,nob/c,neg_amm,not_lpsm,16440,CIB,to_inst,67.665474,41,no
