@relation loan_default_reduced_sampled_training-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute loan_limit {cf,ncf}
@attribute loan_type {type1,type2,type3}
@attribute business_or_commercial {nob/c,b/c}
@attribute Neg_ammortization {not_neg,neg_amm}
@attribute lump_sum_payment {not_lpsm,lpsm}
@attribute income numeric
@attribute co-applicant_credit_type {EXP,CIB}
@attribute submission_of_application {to_inst,not_inst}
@attribute LTV numeric
@attribute dtir1 numeric
@attribute Status {no,yes}

@data
cf,type1,nob/c,neg_amm,not_lpsm,3600,CIB,to_inst,50.473485,49,no
cf,type1,nob/c,not_neg,not_lpsm,4020,CIB,not_inst,64.817629,44,no
cf,type3,nob/c,not_neg,not_lpsm,4260,CIB,to_inst,62.126866,37,no
cf,type1,nob/c,not_neg,not_lpsm,4260,CIB,to_inst,94.95614,30,no
?,type1,nob/c,not_neg,not_lpsm,9240,EXP,to_inst,90.254237,43,no
cf,type1,nob/c,not_neg,not_lpsm,8700,EXP,to_inst,61.738579,38,no
cf,type1,nob/c,not_neg,not_lpsm,4140,CIB,to_inst,66.351744,42,no
cf,type1,nob/c,not_neg,not_lpsm,5340,CIB,to_inst,66.868512,36,no
cf,type1,nob/c,not_neg,not_lpsm,7980,CIB,not_inst,80.448718,33,no
cf,type2,b/c,not_neg,not_lpsm,4260,EXP,to_inst,59.33908,40,no
cf,type1,nob/c,not_neg,not_lpsm,6180,CIB,to_inst,17.563291,20,no
cf,type1,nob/c,not_neg,not_lpsm,8400,CIB,not_inst,80.241935,45,no
cf,type1,nob/c,not_neg,not_lpsm,7200,CIB,to_inst,80.03876,36,no
cf,type1,nob/c,not_neg,not_lpsm,11520,EXP,not_inst,53.579295,24,no
cf,type1,nob/c,not_neg,not_lpsm,5700,EXP,not_inst,72.145669,40,no
cf,type3,nob/c,not_neg,not_lpsm,1380,CIB,to_inst,86.931818,60,no
?,type1,nob/c,not_neg,not_lpsm,6540,EXP,not_inst,95.305677,39,no
cf,type1,nob/c,not_neg,not_lpsm,7620,CIB,to_inst,59.486607,29,no
cf,type1,nob/c,not_neg,not_lpsm,21720,EXP,to_inst,22.96807,15,no
cf,type1,nob/c,not_neg,not_lpsm,6960,EXP,not_inst,78.721683,40,no
ncf,type1,nob/c,not_neg,not_lpsm,9120,EXP,to_inst,84.251412,38,no
cf,type1,nob/c,not_neg,not_lpsm,12540,CIB,not_inst,74.77221,30,no
cf,type1,nob/c,neg_amm,not_lpsm,6240,EXP,not_inst,35.721443,41,no
cf,type1,nob/c,not_neg,not_lpsm,6960,CIB,to_inst,55.503145,36,no
cf,type1,nob/c,not_neg,not_lpsm,4980,EXP,to_inst,66.921397,37,no
cf,type1,nob/c,not_neg,not_lpsm,12240,EXP,not_inst,35.119048,31,no
cf,type1,nob/c,not_neg,not_lpsm,8520,EXP,to_inst,88.722826,43,no
cf,type1,nob/c,not_neg,not_lpsm,11820,CIB,not_inst,28.248899,38,no
cf,type1,nob/c,not_neg,not_lpsm,4260,CIB,not_inst,73.320896,34,no
cf,type2,b/c,not_neg,lpsm,7500,EXP,to_inst,97.433036,60,no
cf,type1,nob/c,neg_amm,not_lpsm,8580,EXP,not_inst,78.645833,35,no
cf,type1,nob/c,not_neg,not_lpsm,8040,CIB,to_inst,92.279412,33,no
cf,type1,nob/c,not_neg,lpsm,5880,CIB,not_inst,78.693931,49,no
cf,type1,nob/c,neg_amm,not_lpsm,6360,EXP,to_inst,57.275132,37,no
cf,type1,nob/c,not_neg,not_lpsm,9480,CIB,not_inst,92.96875,34,no
cf,type1,nob/c,not_neg,not_lpsm,6060,EXP,to_inst,79.362416,8,no
cf,type1,nob/c,not_neg,not_lpsm,9000,CIB,not_inst,64.182058,36,no
cf,type1,nob/c,not_neg,not_lpsm,11280,EXP,to_inst,24.81685,30,no
cf,type1,nob/c,not_neg,not_lpsm,7020,CIB,not_inst,75.122549,37,no
cf,type1,nob/c,not_neg,not_lpsm,2340,CIB,to_inst,69.970414,39,no
cf,type1,nob/c,not_neg,not_lpsm,5460,EXP,to_inst,77.515723,39,no
ncf,type1,nob/c,neg_amm,not_lpsm,12000,CIB,not_inst,38.935407,42,no
ncf,type1,nob/c,not_neg,not_lpsm,16320,EXP,to_inst,80.006859,37,no
cf,type1,nob/c,not_neg,not_lpsm,7920,CIB,to_inst,66.939252,20,no
cf,type2,b/c,not_neg,not_lpsm,8580,CIB,to_inst,68.410853,36,no
cf,type1,nob/c,not_neg,not_lpsm,13860,EXP,not_inst,54.738267,31,no
cf,type1,nob/c,not_neg,not_lpsm,3660,CIB,not_inst,67.769608,41,no
cf,type1,nob/c,not_neg,not_lpsm,1440,CIB,to_inst,51.689189,44,no
cf,type1,nob/c,not_neg,not_lpsm,3720,CIB,to_inst,45.489691,49,no
