calories,fiber,sugars,potass
70,10,6,280
120,2,8,135
70,9,5,320
50,14,0,330
110,1,8,
110,1.5,10,70
110,1,14,30
130,2,8,100
90,4,6,125
90,5,5,190
120,0,12,35
110,2,1,105
120,0,9,45
110,2,7,105
110,0,13,55
110,0,3,25
100,1,2,35
110,1,12,20
110,0,13,65
110,4,7,160
100,1,0,
110,1,3,30
100,2,10,120
100,1,5,80
110,1,13,30
110,1,11,25
100,3,7,100
120,5,10,200
120,5,12,190
110,0,12,25
100,0,15,40
110,0,9,45
100,3,5,85
110,3,3,90
120,3,4,100
120,1,11,45
110,1.5,10,90
110,0,11,35
110,1,6,60
140,2,9,95
110,0,3,40
100,2,6,95
110,0,12,55
100,0,3,95
150,3,11,170
150,3,11,170
160,3,13,160
100,2,6,90
120,0,9,40
140,3,7,130
90,3,2,90
130,1.5,10,120
120,6,14,260
100,1,3,45
50,0,0,15
50,1,0,50
100,2,6,110
100,2.7,,110
120,5,12,240
100,2.5,8,140
90,2,6,110
110,0,2,30
110,0,3,35
80,3,0,95
90,4,0,140
90,3,0,120
110,1,15,40
110,1,3,55
90,3,5,90
110,0,3,35
140,4,14,230
100,3,3,110
110,0,3,60
110,0,12,25
100,3,3,115
100,3,3,110
110,1,8,60
